"pathway","padj","NES","size"
"GOCC_VESICLE_MEMBRANE",1.86244134777291e-08,3.54269873959786,22
"GOBP_HOMEOSTATIC_PROCESS",0.00216201276410232,2.24663763284825,25
"GOBP_VESICLE_MEDIATED_TRANSPORT",0.0134223582843321,1.89899998869304,19
"GOBP_CHEMICAL_HOMEOSTASIS",0.0311490630667396,1.76187347679052,20
"GOBP_ION_TRANSPORT",0.07739074058805,1.60030549412767,26
"GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT",0.0774208386095608,1.56294233519179,16
"GOBP_REGULATION_OF_CELL_DEATH",0.0763297221915021,1.53344014704275,20
"GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.235183795948987,1.23412218658261,15
"GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS",0.322674418604651,1.1264120795751,15
"GOBP_PROGRAMMED_CELL_DEATH",0.382984293193717,1.09885114068959,19
"GOBP_NERVOUS_SYSTEM_PROCESS",0.53804347826087,0.962067914690933,24
"GOBP_ION_TRANSMEMBRANE_TRANSPORT",0.595790194232908,0.917954733875058,20
"GOBP_CATION_TRANSPORT",0.99670510708402,-0.372453859549123,17
